"Accession","Mean","Median","Number of peptides","P-Value"
"P54577","0.17524222911204002","0.17524222911204002","2","0.77975499892671596"
"Q9H400","0.051791031513012675","0.0425756127303593","4","0.21165293787409642"
"P68366","0.13512954128831475","0.14308171568948799","4","0.88954456359585821"
"Q9Y6C9","0.027106457920393557","0.021784362540778899","7","0.036863956920816399"
"Q68CZ2","0.21653272446731167","0.19750226075872199","3","0.412883953864841"
"Q9Y224","0.092931674196199854","0.092931674196199854","2","0.62011517177974707"
"P40227","0.067791467028893243","0.107391354642329","5","0.24679920243420281"
"P08574","0.11703288788020381","0.12514854324855201","6","0.64168782802656921"
"Q13884","0.0741352552229885","0.072589017039463855","4","0.34140604502119454"
"P33241","0.086726646599167151","0.086726646599167151","2","0.57948639484822517"
"P33527","0.1056345454963321","0.113257642217965","26","0.17518148754674184"
"Q5HYI8","0.1437720489598775","0.1437720489598775","2","0.98659962365329479"
"Q15306","0.15711794097755549","0.15711794097755549","2","0.91326893428977285"
"O43242","0.12959015410913349","0.12959015410913349","2","0.88046298818325952"
"Q9UHA4","0.22320062242342822","0.225811306310117","4","0.30098394928397659"
"Q12905","0.10116863797019396","0.105163311130459","4","0.55433263438507263"
"P51798","0.18604417041963625","0.18222719366836698","4","0.58963724713635202"
"P16435","0.065468922811609973","0.059958180799606797","9","0.10954727129160846"
"P62750","0.12740685909320598","0.12740685909320598","2","0.86426470783891762"
"P18031","0.10200490693916731","0.113342951823018","3","0.61537460567159208"
"P04075","0.18505497979524296","0.180007434180156","13","0.34284925762889518"
"P61978","0.1605911444533816","0.14942972383490599","7","0.7910345919654872"
"P51790","0.22134884691831549","0.22134884691831549","2","0.47526636356733742"
"Q9Y6E2","0.14995371462606466","0.163214805609986","3","0.9595291808014752"
"Q9Y383","0.13647621905930951","0.13647621905930951","2","0.93184885386075889"
"Q6ZRP7","0.42537677579358257","0.41169333991896401","5","3.0856751722168729e-05"
"P13995","0.060030019070598628","0.064836912857991397","3","0.32381194212878905"
"P20073","0.10195206163860077","0.086752068312933195","9","0.38361133489680599"
"Q9Y394","0.031492591110770393","-0.0024015498181543201","3","0.18821998087545308"
