Entry,Entry name,Status,Protein names,Gene names,Organism,Length
P30443,1A01_HUMAN,reviewed,"HLA class I histocompatibility antigen, A-1 alpha chain (MHC class I antigen A*1)",HLA-A HLAA,Homo sapiens (Human),365
P01892,1A02_HUMAN,reviewed,"HLA class I histocompatibility antigen, A-2 alpha chain (MHC class I antigen A*2)",HLA-A HLAA,Homo sapiens (Human),365
P04439,1A03_HUMAN,reviewed,"HLA class I histocompatibility antigen, A-3 alpha chain (MHC class I antigen A*3)",HLA-A HLAA,Homo sapiens (Human),365
P13746,1A11_HUMAN,reviewed,"HLA class I histocompatibility antigen, A-11 alpha chain (MHC class I antigen A*11)",HLA-A HLAA,Homo sapiens (Human),365
P30447,1A23_HUMAN,reviewed,"HLA class I histocompatibility antigen, A-23 alpha chain (HLA class I histocompatibility antigen, A-9 alpha chain) (MHC class I antigen A*23)",HLA-A HLAA,Homo sapiens (Human),365
P05534,1A24_HUMAN,reviewed,"HLA class I histocompatibility antigen, A-24 alpha chain (Aw-24) (HLA class I histocompatibility antigen, A-9 alpha chain) (MHC class I antigen A*24)",HLA-A HLAA,Homo sapiens (Human),365
P18462,1A25_HUMAN,reviewed,"HLA class I histocompatibility antigen, A-25 alpha chain (HLA class I histocompatibility antigen, A-10 alpha chain) (MHC class I antigen A*25)",HLA-A HLAA,Homo sapiens (Human),365
P30450,1A26_HUMAN,reviewed,"HLA class I histocompatibility antigen, A-26 alpha chain (MHC class I antigen A*26)",HLA-A HLAA,Homo sapiens (Human),365
P30512,1A29_HUMAN,reviewed,"HLA class I histocompatibility antigen, A-29 alpha chain (Aw-19) (MHC class I antigen A*29)",HLA-A HLAA,Homo sapiens (Human),365
P16188,1A30_HUMAN,reviewed,"HLA class I histocompatibility antigen, A-30 alpha chain (MHC class I antigen A*30)",HLA-A HLAA,Homo sapiens (Human),365
P16189,1A31_HUMAN,reviewed,"HLA class I histocompatibility antigen, A-31 alpha chain (MHC class I antigen A*31)",HLA-A HLAA,Homo sapiens (Human),365
P10314,1A32_HUMAN,reviewed,"HLA class I histocompatibility antigen, A-32 alpha chain (MHC class I antigen A*32)",HLA-A HLAA,Homo sapiens (Human),365
P16190,1A33_HUMAN,reviewed,"HLA class I histocompatibility antigen, A-33 alpha chain (Aw-19) (Aw-33) (MHC class I antigen A*33)",HLA-A HLAA,Homo sapiens (Human),365
P30453,1A34_HUMAN,reviewed,"HLA class I histocompatibility antigen, A-34 alpha chain (Aw-34) (HLA class I histocompatibility antigen, A-10 alpha chain) (MHC class I antigen A*34)",HLA-A HLAA,Homo sapiens (Human),365
P30455,1A36_HUMAN,reviewed,"HLA class I histocompatibility antigen, A-36 alpha chain (Aw-36) (MHC class I antigen A*36)",HLA-A HLAA,Homo sapiens (Human),365
P30456,1A43_HUMAN,reviewed,"HLA class I histocompatibility antigen, A-43 alpha chain (Aw-43) (MHC class I antigen A*43)",HLA-A HLAA,Homo sapiens (Human),365
P30457,1A66_HUMAN,reviewed,"HLA class I histocompatibility antigen, A-66 alpha chain (Aw-66) (HLA class I histocompatibility antigen, A-10 alpha chain) (MHC class I antigen A*66)",HLA-A HLAA,Homo sapiens (Human),365
P01891,1A68_HUMAN,reviewed,"HLA class I histocompatibility antigen, A-68 alpha chain (Aw-68) (HLA class I histocompatibility antigen, A-28 alpha chain) (MHC class I antigen A*68)",HLA-A HLAA,Homo sapiens (Human),365
P30459,1A74_HUMAN,reviewed,"HLA class I histocompatibility antigen, A-74 alpha chain (Aw-19) (Aw-74) (MHC class I antigen A*74)",HLA-A HLAA,Homo sapiens (Human),365
Q09160,1A80_HUMAN,reviewed,"HLA class I histocompatibility antigen, A-80 alpha chain (Aw-80) (HLA class I histocompatibility antigen, A-1 alpha chain) (MHC class I antigen A*80)",HLA-A HLAA,Homo sapiens (Human),365
P01889,1B07_HUMAN,reviewed,"HLA class I histocompatibility antigen, B-7 alpha chain (MHC class I antigen B*7)",HLA-B HLAB,Homo sapiens (Human),362
P30460,1B08_HUMAN,reviewed,"HLA class I histocompatibility antigen, B-8 alpha chain (MHC class I antigen B*8)",HLA-B HLAB,Homo sapiens (Human),362
P30461,1B13_HUMAN,reviewed,"HLA class I histocompatibility antigen, B-13 alpha chain (MHC class I antigen B*13)",HLA-B HLAB,Homo sapiens (Human),362
P30462,1B14_HUMAN,reviewed,"HLA class I histocompatibility antigen, B-14 alpha chain (MHC class I antigen B*14)",HLA-B HLAB,Homo sapiens (Human),362
P30464,1B15_HUMAN,reviewed,"HLA class I histocompatibility antigen, B-15 alpha chain (MHC class I antigen B*15)",HLA-B HLAB,Homo sapiens (Human),362
P30466,1B18_HUMAN,reviewed,"HLA class I histocompatibility antigen, B-18 alpha chain (MHC class I antigen B*18)",HLA-B HLAB,Homo sapiens (Human),362
P03989,1B27_HUMAN,reviewed,"HLA class I histocompatibility antigen, B-27 alpha chain (MHC class I antigen B*27)",HLA-B HLAB,Homo sapiens (Human),362
P30685,1B35_HUMAN,reviewed,"HLA class I histocompatibility antigen, B-35 alpha chain (MHC class I antigen B*35)",HLA-B HLAB,Homo sapiens (Human),362
P18463,1B37_HUMAN,reviewed,"HLA class I histocompatibility antigen, B-37 alpha chain (MHC class I antigen B*37)",HLA-B HLAB,Homo sapiens (Human),362
Q95365,1B38_HUMAN,reviewed,"HLA class I histocompatibility antigen, B-38 alpha chain (Bw-4) (MHC class I antigen B*38)",HLA-B HLAB,Homo sapiens (Human),362
P30475,1B39_HUMAN,reviewed,"HLA class I histocompatibility antigen, B-39 alpha chain (MHC class I antigen B*39)",HLA-B HLAB,Homo sapiens (Human),362
Q04826,1B40_HUMAN,reviewed,"HLA class I histocompatibility antigen, B-40 alpha chain (Bw-60) (MHC class I antigen B*40)",HLA-B HLAB,Homo sapiens (Human),362
P30479,1B41_HUMAN,reviewed,"HLA class I histocompatibility antigen, B-41 alpha chain (Bw-41) (MHC class I antigen B*41)",HLA-B HLAB,Homo sapiens (Human),362
P30480,1B42_HUMAN,reviewed,"HLA class I histocompatibility antigen, B-42 alpha chain (MHC class I antigen B*42)",HLA-B HLAB,Homo sapiens (Human),362
P30481,1B44_HUMAN,reviewed,"HLA class I histocompatibility antigen, B-44 alpha chain (Bw-44) (MHC class I antigen B*44)",HLA-B HLAB,Homo sapiens (Human),362
P30483,1B45_HUMAN,reviewed,"HLA class I histocompatibility antigen, B-45 alpha chain (Bw-45) (MHC class I antigen B*45)",HLA-B HLAB,Homo sapiens (Human),362
P30484,1B46_HUMAN,reviewed,"HLA class I histocompatibility antigen, B-46 alpha chain (Bw-46) (MHC class I antigen B*46)",HLA-B HLAB,Homo sapiens (Human),362
P30485,1B47_HUMAN,reviewed,"HLA class I histocompatibility antigen, B-47 alpha chain (Bw-47) (MHC class I antigen B*47)",HLA-B HLAB,Homo sapiens (Human),362
P30486,1B48_HUMAN,reviewed,"HLA class I histocompatibility antigen, B-48 alpha chain (Bw-48) (MHC class I antigen B*48)",HLA-B HLAB,Homo sapiens (Human),362
P30487,1B49_HUMAN,reviewed,"HLA class I histocompatibility antigen, B-49 alpha chain (HLA class I histocompatibility antigen, B-21 alpha chain) (MHC class I antigen B*49)",HLA-B HLAB,Homo sapiens (Human),362
P30488,1B50_HUMAN,reviewed,"HLA class I histocompatibility antigen, B-50 alpha chain (Bw-50) (HLA class I histocompatibility antigen, B-21 alpha chain) (MHC class I antigen B*50)",HLA-B HLAB,Homo sapiens (Human),362
P18464,1B51_HUMAN,reviewed,"HLA class I histocompatibility antigen, B-51 alpha chain (MHC class I antigen B*51)",HLA-B HLAB,Homo sapiens (Human),362
P30490,1B52_HUMAN,reviewed,"HLA class I histocompatibility antigen, B-52 alpha chain (Bw-52) (HLA class I histocompatibility antigen, B-5 alpha chain) (MHC class I antigen B*52)",HLA-B HLAB,Homo sapiens (Human),362
P30491,1B53_HUMAN,reviewed,"HLA class I histocompatibility antigen, B-53 alpha chain (Bw-53) (MHC class I antigen B*53)",HLA-B HLAB,Homo sapiens (Human),362
