Entry,Entry name,Status,Protein names,Gene names,Organism,Length
Q00005,2ABB_HUMAN,reviewed,Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B beta isoform (PP2A subunit B isoform B55-beta) (PP2A subunit B isoform PR55-beta) (PP2A subunit B isoform R2-beta) (PP2A subunit B isoform beta),PPP2R2B,Homo sapiens (Human),443
P14060,3BHS1_HUMAN,reviewed,3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase type 1 (3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase type I) (3-beta-HSD I) (Trophoblast antigen FDO161G) [Includes: 3-beta-hydroxy-Delta(5)-steroid dehydrogenase (EC 1.1.1.145) (3-beta-hydroxy-5-ene steroid dehydrogenase) (Progesterone reductase); Steroid Delta-isomerase (EC 5.3.3.1) (Delta-5-3-ketosteroid isomerase)],HSD3B1 3BH HSDB3A,Homo sapiens (Human),373
P26439,3BHS2_HUMAN,reviewed,3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase type 2 (3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase type II) (3-beta-HSD II) (3-beta-HSD adrenal and gonadal type) [Includes: 3-beta-hydroxy-Delta(5)-steroid dehydrogenase (EC 1.1.1.145) (3-beta-hydroxy-5-ene steroid dehydrogenase) (Progesterone reductase); Steroid Delta-isomerase (EC 5.3.3.1) (Delta-5-3-ketosteroid isomerase)],HSD3B2 HSDB3B,Homo sapiens (Human),372
O60239,3BP5_HUMAN,reviewed,SH3 domain-binding protein 5 (SH3BP-5) (SH3 domain-binding protein that preferentially associates with BTK),SH3BP5 SAB,Homo sapiens (Human),455
P31937,3HIDH_HUMAN,reviewed,"3-hydroxyisobutyrate dehydrogenase, mitochondrial (HIBADH) (EC 1.1.1.31)",HIBADH,Homo sapiens (Human),336
P56378,68MP_HUMAN,reviewed,6.8 kDa mitochondrial proteolipid,MP68 C14orf2 PRO1574,Homo sapiens (Human),58
Q8N5Z0,AADAT_HUMAN,reviewed,"Kynurenine/alpha-aminoadipate aminotransferase, mitochondrial (KAT/AadAT) (2-aminoadipate aminotransferase) (2-aminoadipate transaminase) (EC 2.6.1.39) (Alpha-aminoadipate aminotransferase) (AadAT) (Kynurenine aminotransferase II) (Kynurenine--oxoglutarate aminotransferase II) (Kynurenine--oxoglutarate transaminase 2) (EC 2.6.1.7) (Kynurenine--oxoglutarate transaminase II)",AADAT KAT2,Homo sapiens (Human),425
Q9UDR5,AASS_HUMAN,reviewed,"Alpha-aminoadipic semialdehyde synthase, mitochondrial (LKR/SDH) [Includes: Lysine ketoglutarate reductase (LKR) (LOR) (EC 1.5.1.8); Saccharopine dehydrogenase (SDH) (EC 1.5.1.9)]",AASS,Homo sapiens (Human),926
Q7Z4T9,AAT1_HUMAN,reviewed,AMY-1-associating protein expressed in testis 1 (AAT-1),AAT1 C3orf15,Homo sapiens (Human),603
P00505,AATM_HUMAN,reviewed,"Aspartate aminotransferase, mitochondrial (mAspAT) (EC 2.6.1.1) (Fatty acid-binding protein) (FABP-1) (Glutamate oxaloacetate transaminase 2) (Plasma membrane-associated fatty acid-binding protein) (FABPpm) (Transaminase A)",GOT2,Homo sapiens (Human),430
Q9NP58,ABCB6_HUMAN,reviewed,"ATP-binding cassette sub-family B member 6, mitochondrial (Mitochondrial ABC transporter 3) (Mt-ABC transporter 3) (P-glycoprotein-related protein) (Ubiquitously-expressed mammalian ABC half transporter)",ABCB6 MTABC3 PRP UMAT,Homo sapiens (Human),842
O75027,ABCB7_HUMAN,reviewed,"ATP-binding cassette sub-family B member 7, mitochondrial (ATP-binding cassette transporter 7) (ABC transporter 7 protein)",ABCB7 ABC7,Homo sapiens (Human),752
Q9NUT2,ABCB8_HUMAN,reviewed,"ATP-binding cassette sub-family B member 8, mitochondrial (Mitochondrial ATP-binding cassette 1) (M-ABC1)",ABCB8 MABC1,Homo sapiens (Human),735
Q9NRK6,ABCBA_HUMAN,reviewed,"ATP-binding cassette sub-family B member 10, mitochondrial (ATP-binding cassette transporter 10) (ABC transporter 10 protein) (Mitochondrial ATP-binding cassette 2) (M-ABC2)",ABCB10,Homo sapiens (Human),738
P61221,ABCE1_HUMAN,reviewed,ATP-binding cassette sub-family E member 1 (2'-5'-oligoadenylate-binding protein) (HuHP68) (RNase L inhibitor) (Ribonuclease 4 inhibitor) (RNS4I),ABCE1 RLI RNASEL1 RNASELI RNS4I OK/SW-cl.40,Homo sapiens (Human),599
P45844,ABCG1_HUMAN,reviewed,ATP-binding cassette sub-family G member 1 (ATP-binding cassette transporter 8) (White protein homolog),ABCG1 ABC8 WHT1,Homo sapiens (Human),678
Q9NUJ1,ABHDA_HUMAN,reviewed,"Abhydrolase domain-containing protein 10, mitochondrial (EC 3.4.-.-)",ABHD10,Homo sapiens (Human),306
P00519,ABL1_HUMAN,reviewed,Tyrosine-protein kinase ABL1 (EC 2.7.10.2) (Abelson murine leukemia viral oncogene homolog 1) (Abelson tyrosine-protein kinase 1) (Proto-oncogene c-Abl) (p150),ABL1 ABL JTK7,Homo sapiens (Human),1130
Q9UKU7,ACAD8_HUMAN,reviewed,"Isobutyryl-CoA dehydrogenase, mitochondrial (EC 1.3.99.-) (Activator-recruited cofactor 42 kDa component) (ARC42) (Acyl-CoA dehydrogenase family member 8) (ACAD-8)",ACAD8 ARC42 IBD,Homo sapiens (Human),415
Q9H845,ACAD9_HUMAN,reviewed,"Acyl-CoA dehydrogenase family member 9, mitochondrial (ACAD-9) (EC 1.3.99.-)",ACAD9,Homo sapiens (Human),621
P28330,ACADL_HUMAN,reviewed,"Long-chain specific acyl-CoA dehydrogenase, mitochondrial (LCAD) (EC 1.3.8.8)",ACADL,Homo sapiens (Human),430
