Accession,Description,Norm Avg Ratio
Q9NQX7,Integral membrane protein 2C,4.629475602
P14210,Hepatocyte growth factor,4.498763354
O43505,"N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase",4.445499034
Q9BRK5,45 kDa calcium-binding protein,4.306717004
Q16630,Cleavage and polyadenylation specificity factor subunit 6,3.884502536
Q86X52,Chondroitin sulfate synthase 1,3.793959498
O94779,Contactin-5,3.414505805
O60512,"Beta-1,4-galactosyltransferase 3",3.412261765
Q9UKM7,"Endoplasmic reticulum mannosyl-oligosaccharide 1,2-alpha-mannosidase",3.003820849
Q9UKQ2,Disintegrin and metalloproteinase domain-containing protein 28,2.994571396
O95297,Myelin protein zero-like protein 1,2.941245666
Q5VW38,Protein GPR107,2.887883886
P18084,Integrin beta-5,2.848323631
P04233,HLA class II histocompatibility antigen gamma chain,2.819642548
P06756,Integrin alpha-V,2.64411432
Q8WVQ1,Soluble calcium-activated nucleotidase 1,2.504218899
Q11201,"CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase 1",2.481540981
Q9BU61,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 3,2.479665798
Q4ZIN3,Membralin,2.473081383
P01591,Immunoglobulin J chain,2.453761183
P52333,Tyrosine-protein kinase JAK3,2.450213959
O60784,Target of Myb protein 1,2.432141761
Q9H5K3,Protein kinase-like protein SgK196,2.424167117
Q5H8A4,GPI ethanolamine phosphate transferase 2,2.362985528
P09326,CD48 antigen,2.351257588
P78310,Coxsackievirus and adenovirus receptor,2.343190665
Q13740,CD166 antigen,2.341446194
Q9P2E5,Chondroitin sulfate glucuronyltransferase,2.315670733
Q9HC07,Transmembrane protein 165,2.308512969
P33908,"Mannosyl-oligosaccharide 1,2-alpha-mannosidase IA",2.29630956
Q9NPR9,Protein GPR108,2.293363388
P30049,"ATP synthase subunit delta, mitochondrial",2.289093784
P54756,Ephrin type-A receptor 5,2.27213299
P20036,"HLA class II histocompatibility antigen, DP alpha 1 chain",2.24119965
Q6ZRP7,Sulfhydryl oxidase 2,2.209390404
P28067,"HLA class II histocompatibility antigen, DM alpha chain",2.190626299
O76024,Wolframin,2.152668612
P27701,CD82 antigen,2.138539314
Q9NXS2,Glutaminyl-peptide cyclotransferase-like protein,2.103167764
Q15165,Serum paraoxonase/arylesterase 2,2.079156586
P04440,"HLA class II histocompatibility antigen, DP beta 1 chain",2.048231721
Q8N2K0,Monoacylglycerol lipase ABHD12,2.033253001
O75787,Renin receptor,2.008267027
P01920,"HLA class II histocompatibility antigen, DQ beta 1 chain",1.981797635
Q13641,Trophoblast glycoprotein,1.964875891
O60449,Lymphocyte antigen 75,1.952610721
Q8WTV0,Scavenger receptor class B member 1,1.940199603
P08962,CD63 antigen,1.939386099
P32970,CD70 antigen,1.908970279
Q9BTX1,Nucleoporin NDC1,1.895198362
Q9BRR6,ADP-dependent glucokinase,1.890145857
Q9Y287,Integral membrane protein 2B,1.889439364
Q16706,Alpha-mannosidase 2,1.886842231
Q10472,Polypeptide N-acetylgalactosaminyltransferase 1,1.883175275
P20701,Integrin alpha-L,1.879219749
Q8N766,Uncharacterized protein KIAA0090,1.872786741
P31785,Cytokine receptor common subunit gamma,1.871206672
P13473,Lysosome-associated membrane glycoprotein 2,1.86141639
P04181,"Ornithine aminotransferase, mitochondrial",1.859497553
Q9NUM4,Transmembrane protein 106B,1.849166197
Q6PD62,RNA polymerase-associated protein CTR9 homolog,1.839190943
O94905,Erlin-2,1.838841007
O95864,Fatty acid desaturase 2,1.833983053
Q8IW92,Beta-galactosidase-1-like protein 2,1.81812153
Q6UW68,Transmembrane protein 205,1.813964432
Q14118,Dystroglycan,1.807534637
Q8IWV1,Lymphocyte transmembrane adapter 1,1.795365412
Q8TDW0,Leucine-rich repeat-containing protein 8C,1.77991255
Q9UH99,SUN domain-containing protein 2,1.768978994
P13598,Intercellular adhesion molecule 2,1.766212763
P16070,CD44 antigen,1.758118715
P11117,Lysosomal acid phosphatase,1.753966116
O96005,Cleft lip and palate transmembrane protein 1,1.735245797
Q96AQ6,Pre-B-cell leukemia transcription factor-interacting protein 1,1.732688699
O15118,Niemann-Pick C1 protein,1.723926641
Q9BX59,Tapasin-related protein,1.720963516
Q9BY50,Signal peptidase complex catalytic subunit SEC11C,1.720168783
O60476,"Mannosyl-oligosaccharide 1,2-alpha-mannosidase IB",1.716508615
Q92643,GPI-anchor transamidase,1.715945206
Q14108,Lysosome membrane protein 2,1.713664796
Q9BU23,Lipase maturation factor 2,1.702484615
Q8TD46,Cell surface glycoprotein CD200 receptor 1,1.68722833
Q30154,"HLA class II histocompatibility antigen, DR beta 5 chain",1.68574385
Q96G97,Seipin,1.673870233
P29597,Non-receptor tyrosine-protein kinase TYK2,1.67318048
P12109,Collagen alpha-1(VI) chain,1.671449057
Q13724,Mannosyl-oligosaccharide glucosidase,1.664248214
P04062,Glucosylceramidase,1.66401661
Q9Y282,Endoplasmic reticulum-Golgi intermediate compartment protein 3,1.659279832
Q9BY67,Cell adhesion molecule 1,1.643147027
Q8N4L2,Transmembrane protein 55A,1.635688405
Q08257,Quinone oxidoreductase,1.627345828
P37268,Squalene synthase,1.624841417
Q96CN7,Isochorismatase domain-containing protein 1,1.619061368
Q15904,V-type proton ATPase subunit S1,1.614479936
Q8IXU6,Solute carrier family 35 member F2,1.608547747
Q6RW13,Type-1 angiotensin II receptor-associated protein,1.602967995
Q96JJ7,Protein disulfide-isomerase TMX3,1.599595026
O43292,Glycosylphosphatidylinositol anchor attachment 1 protein,1.599433061
Q96S52,GPI transamidase component PIG-S,1.58616938
P43307,Translocon-associated protein subunit alpha,1.572715749
P13612,Integrin alpha-4,1.565897074
Q07065,Cytoskeleton-associated protein 4,1.562274476
Q15223,Poliovirus receptor-related protein 1,1.561843521
Q92542,Nicastrin,1.561581154
P01903,"HLA class II histocompatibility antigen, DR alpha chain",1.559765272
