"Accession","Species","Description","# in DB","Avg Peptide Ratio","# Peptide Ratio","# of peptides"
"P54577","HUMAN","Tyrosyl-tRNA synthetase, cytoplasmic","1","1.83912","2","1"
"Q9H400","HUMAN","Lck-interacting transmembrane adapter 1","1","1.1904","1","1"
"P10253","HUMAN","Lysosomal alpha-glucosidase","1","0.536329","1","1"
"Q5BJH7","HUMAN","Protein YIF1B","1","1.29049","2","1"
"P50151","HUMAN","Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-10","1","0.430759","1","1"
"Q9Y6C9","HUMAN","Mitochondrial carrier homolog 2","1","1.26652133333","7","3"
"Q9BSF4","HUMAN","Uncharacterized protein C19orf52","1","1.724955","3","2"
"P09601","HUMAN","Heme oxygenase 1","1","1.20446","1","1"
"P40227","HUMAN","T-complex protein 1 subunit zeta","1","1.06949","1","1"
"Q9HB71","HUMAN","Calcyclin-binding protein","1","0.974338","3","2"
"P68366","HUMAN","Tubulin alpha-4A chain","1","1.07341","2","1"
"P33241","HUMAN","Lymphocyte-specific protein 1","1","0.947943","1","1"
"P33527","HUMAN","Multidrug resistance-associated protein 1","1","0.7135555","4","2"
"P05538","HUMAN","HLA class II histocompatibility antigen, DQ beta 2 chain","1","0.002875","1","1"
"Q5HYI8","HUMAN","Rab-like protein 3","1","2.32997","1","1"
"Q86VZ4","HUMAN","Low-density lipoprotein receptor-related protein 11","1","0.514226","1","1"
"Q9UEU0","HUMAN","Vesicle transport through interaction with t-SNAREs homolog 1B","1","1.67353","2","1"
"Q92575","HUMAN","UBX domain-containing protein 4","1","1.22265","1","1"
"P51798","HUMAN","H(+)/Cl(-) exchange transporter 7","1","1.19986","2","1"
"Q96JJ7","HUMAN","Protein disulfide-isomerase TMX3","1","1.377462","7","4"
"O95070","HUMAN","Protein YIF1A","1","1.021","2","1"
"P18031","HUMAN","Tyrosine-protein phosphatase non-receptor type 1","1","1.05918666667","5","3"
"Q9NZL9","HUMAN","Methionine adenosyltransferase 2 subunit beta","1","0.942476","2","1"
"Q8WTV0","HUMAN","Scavenger receptor class B member 1","1","3.330545","4","2"
"P61978","HUMAN","Heterogeneous nuclear ribonucleoprotein K","1","0.906233333333","5","3"
"Q13724","HUMAN","Mannosyl-oligosaccharide glucosidase","1","4.552506","7","5"
