Accession,Description,Experiment 1,Experiment 2,Experiment 3,Mitochondrial?,Signal Peptide?,Type II?,Type III?,Multi TM?
O00625,Pirin,,1.036813926,0.687628378,,,,,
O00629,Importin subunit alpha-4,,1.187198986,,,,,,
P40227,T-complex protein 1 subunit zeta,0.931033318,0.925962674,0.677692115,,,,,
Q6PD62,RNA polymerase-associated protein CTR9 homolog,,1.035507533,1.839190943,,,,,
P40222,Alpha-taxilin,,1.252038904,,,,,,
Q9NQT4,Exosome complex component RRP46,,1.126303079,,,,,,
P33527,Multidrug resistance-associated protein 1,0.960224226,0.891777797,0.737581735,,,,,1
Q9NZL4,Hsp70-binding protein 1,0.544444979,0.874703673,0.51733864,,,,,
P16435,NADPH--cytochrome P450 reductase,0.852679418,0.982089789,0.738946255,,,,,
Q9NZL9,Methionine adenosyltransferase 2 subunit beta,,0.914783177,0.622421537,,,,,
Q13724,Mannosyl-oligosaccharide glucosidase,1.597776314,,1.664248214,,,1,,
O43615,Mitochondrial import inner membrane translocase subunit TIM44,0.826490428,0.769240085,0.658905063,1,,,,
P84077,ADP-ribosylation factor 1,,0.646030344,,,,,,
Q8NCG7,Sn1-specific diacylglycerol lipase beta,0.911341694,1.190438888,0.814701216,,,,,1
Q9BUF5,Tubulin beta-6 chain,,0.962739584,0.682795786,,,,,
Q01974,Tyrosine-protein kinase transmembrane receptor ROR2,,,1.411858019,,1,,,
Q9C0H2,Protein tweety homolog 3,,,1.473649255,,,,,1
P40616,ADP-ribosylation factor-like protein 1,,,1.105147232,,,,,
Q00535,Cyclin-dependent kinase 5,,1.081082537,1.062713306,,,,,
Q07960,Rho GTPase-activating protein 1,,1.144927619,,,,,,
Q69YN4,Protein virilizer homolog,,0.903815089,,,,,,
Q9NZZ3,Charged multivesicular body protein 5,,2.07863048,1.48169723,,,,,
Q9UBM7,7-dehydrocholesterol reductase,0.925374183,1.109989139,1.064261732,,,,,1
Q9HB07,"UPF0160 protein MYG1, mitochondrial",,0.899766705,,1,,,,
P02545,Prelamin-A/C,1.072695967,0.911947525,0.601293032,,,,,
P40429,60S ribosomal protein L13a,,0.945665581,0.596118988,,,,,
