Accession,Localization,Description,Norm avg ratio,test,direct sec61?,membrane?,GO
A0AVT1,,Ubiquitin-like modifier-activating enzyme 6,1.00588965,1,no,no,cytoplasm;
A0FGR8,multiTM,Extended synaptotagmin-2,1.003989708,1,yes,,plasma membrane;integral to membrane;
A1L0T0,type III,Acetolactate synthase-like protein,1.00182495,1,? Type III?,,integral to membrane;cellular_component;membrane;
A2RRP1,unchar.,Neuroblastoma-amplified sequence,1.27267094,1,,,None
A4D1P6,unchar.,WD repeat-containing protein 91,1.037872113,1,,,None
A5YKK6,cytosol,CCR4-NOT transcription complex subunit 1,1.408152483,1,no,no,NA
A6NDG6,cytosol,Phosphoglycolate phosphatase,0.717811629,1,no,no,NA
A6NHL2,cytosol,Tubulin alpha chain-like 3,1.078792712,1,no,no,microtubule;
A6NHR9,nucleus,Structural maintenance of chromosomes flexible hinge domain-containing protein 1,1.071163153,1,no,no,chromosome;Barr body;
O00116,perox,"Alkyldihydroxyacetonephosphate synthase, peroxisomal",0.774215577,1,yes,,mitochondrion;membrane;peroxisomal membrane;peroxisome;
O00148,cytosol,ATP-dependent RNA helicase DDX39,1.179599449,1,no,no,nucleus;
O00151,cytosol,PDZ and LIM domain protein 1,0.903943276,1,no,no,transcription factor complex;cytoskeleton;cytoplasm;
O00154,"cytosol, mito",Cytosolic acyl coenzyme A thioester hydrolase,0.995598918,1,no,no,cytoplasm;mitochondrion;
O00159,cytosol,Myosin-Ic,0.937443147,1,no,no,cytoplasm;myosin I complex;nuclear pore;basal plasma membrane;stress fiber;nucleoplasm;lateral plasma membrane;unconventional myosin complex;nucleus;nucleolus;microvillus;filamentous actin;brush border;stereocilium membrane;plasma membrane;
O00161,"cytosol, lipid anchor",Synaptosomal-associated protein 23,0.988757547,1,no,yes,plasma membrane enriched fraction;specific granule;azurophil granule;cell junction;synaptosome;plasma membrane;synapse;
O00165,cytosol,HCLS1-associated protein X-1,1.065391344,1,no,yes,membrane;nuclear envelope;actin cytoskeleton;endoplasmic reticulum;mitochondrion;nuclear membrane;soluble fraction;sarcoplasmic reticulum;nucleus;cytoplasmic membrane-bounded vesicle;
O00170,cytosol,AH receptor-interacting protein,0.744676968,1,no,no,membrane fraction;cytosol;cytoplasm;
O00178,cytosol,GTP-binding protein 1,1.054372169,1,no,no,NA
O00186,cytosol,Syntaxin-binding protein 3,0.996351696,1,no,yes,plasma membrane;tertiary granule;cytosol;apical plasma membrane;platelet alpha granule;cytoplasm;cytosol;specific granule;basolateral plasma membrane;
O00203,cytosol,AP-3 complex subunit beta-1,1.33070642,1,no,yes,membrane coat;Golgi apparatus;membrane;cytoplasmic vesicle;clathrin coated vesicle membrane;
O00214,cytosol,Galectin-8,1.139363685,1,no,no,extracellular space;cytoplasm;
O00217,mito,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial",0.946482777,1,no,no,respiratory chain;membrane;mitochondrial respiratory chain complex I;mitochondrion;mitochondrion;mitochondrial respiratory chain complex I;
O00231,cytosol,26S proteasome non-ATPase regulatory subunit 11,0.930284041,1,no,no,proteasome complex;
O00232,cytosol,26S proteasome non-ATPase regulatory subunit 12,0.887058388,1,no,no,proteasome complex;proteasome regulatory particle;
O00233,cytosol,26S proteasome non-ATPase regulatory subunit 9,1.089028256,1,no,no,proteasome complex;proteasome regulatory particle;nucleus;
O00264,type III,Membrane-associated progesterone receptor component 1,0.98963377,1,yes,,endoplasmic reticulum membrane;nucleolus;endoplasmic reticulum;integral to membrane;membrane;nucleus;microsome;cell surface;
O00267,nucleus,Transcription elongation factor SPT5,0.985620979,1,no,no,nucleoplasm;nucleus;nucleoplasm;nucleoplasm;
O00273,cytosol,DNA fragmentation factor subunit alpha,0.775789863,1,no,no,intracellular;cytosol;nucleoplasm;nucleoplasm;nucleus;cytoplasm;cytosol;
O00299,nucleus,Chloride intracellular channel protein 1,1.061924585,1,no,yes,brush border;nucleus;soluble fraction;integral to membrane;cytoplasm;nuclear membrane;plasma membrane;chloride channel complex;membrane fraction;nuclear envelope;
